Country Name,Country Code,Region,Adolescent fertility rate ,Adolescents out of school,"Children out of school, primary",Cost of business start-up procedures,Employment in agriculture ,Employment in industry,Employment in services,Firms with female participation in ownership,Labor force participation rate,Labor force with advanced education,Labor force,Life expectancy at birth,"Literacy rate, adult",Literacy rate youth ,"Population, female ",Prevalence of HIV ,Primary completion rate,Proportion of seats held by women in national parliaments,Self-employed,Start-up procedures to register a business,Time required to start a business,"Unemployment, female",Vulnerable employment,Wage and salaried workers
Luxembourg,LUX,Europe & Central Asia,4.4806,3.607259989,513874,1.6,0.430000007,4.329999924,95.25,37.8,54.62,77.18000031,45.20680053,84.7,97.94228363,99.67472076,49.47298329,NA,84.61791229,25,7.699999809,5,16.5,5.53,5.75,92.30000305
Latvia,LVA,Europe & Central Asia,15.4318,1.469779968,472,1.5,4.349999905,11.92000008,83.73000336,46.6,55.79,84.11000061,50.0132652,79.9,97.94228363,99.67472076,53.95554716,NA,98.63890076,30,9.890000343,4,5.5,5.43,7.070000142,90.12000275
"Macao SAR, China",MAC,East Asia & Pacific,2.2262,1.419739962,245,15.76551724,0.109999999,2.299999952,97.58999634,NA,64.15,NA,48.2534603,87.179,94.17939758,98.71144867,51.95441926,NA,104.8668518,20.50381494,3.599999905,6.233448276,22.89103448,1.29,2.149999976,96.40000153
St. Martin (French part),MAF,Latin America & Caribbean,61.17733016,5.755290031,705753,30.56060606,7.05149041,11.69852713,81.25180807,41.97058824,52.53513418,75.91955584,41.98765796,83.2,93.89594269,98.78559113,50.80860219,NA,98.29325867,31.66977612,36.53234168,8.043636364,28.0919697,9.543110613,33.80452671,63.4685266
Morocco,MAR,Middle East & North Africa,30.328,11.38187027,1534877,3.6,52.11999893,13.30000019,34.58000183,16.1,21.59,NA,24.28025749,77.895,72.77185059,87.97827148,50.39159058,0.1,97.70501709,20.50632911,57.11000061,4,9,10.47,56.29000092,42.88999939
Monaco,MCO,Europe & Central Asia,16.18400554,2.139679909,513874,3.312,6.861719945,13.2434062,79.89597166,37.8,50.57350475,72.68085298,45.297962,81.22851322,97.94228363,99.67472076,51.51342425,NA,98.70014191,33.33333333,13.9490668,5.26,11.762,6.77215351,12.03216161,86.05187916
Moldova,MDA,Europe & Central Asia,21.9454,2.139679909,513874,4,16.93000031,14.98999977,68.08000183,39.9,38.22,59.81999969,48.55876809,76.157,97.94228363,99.67472076,52.0721161,0.1,99.50668335,25.74257426,26.18000031,3,4,4.35,25.99999905,73.81999969
Madagascar,MDG,Sub-Saharan Africa,105.8848,28.99432945,19807892,30.2,59.93999863,8.930000305,31.12999916,55.95,83.23,NA,48.93001352,68.682,58.8786087,73.63633728,50.11763002,0.1,65.77728271,15.89403974,89.62000275,5,8,1.7,87.19000244,10.38000011
Maldives,MDV,South Asia,7.0176,14.79679012,174,4.1,1.850000024,22.79000092,75.36000061,NA,41.61,30.56999969,20.1546899,80.779,64.64469147,88.12921906,36.70485557,NA,93.09570313,4.597701149,34.83000183,6,12,5.22,33.40000081,65.16999817
Mexico,MEX,Latin America & Caribbean,58.5434,6.444469929,705753,15.2,3.609999895,17.05999947,79.33000183,41.97058824,45.58,70.68000031,38.48873994,77.879,93.89594269,98.78559113,51.08513875,0.1,103.2503433,48.2,32.79999924,7.83,8.415,3.52,30.29000044,67.19999695
Marshall Islands,MHL,East Asia & Pacific,20.63766918,23.05151939,1189,12.9,22.06199784,20.43466903,57.4970551,NA,58.83829784,NA,43.34677843,78.88453583,94.17939758,98.71144867,49.32095673,NA,77.01452637,6.060606061,45.15214845,5,17,3.433555797,43.85652136,54.8478527
North Macedonia,MKD,Europe & Central Asia,14.601,2.139679909,513874,3.1,13.01000023,26.19000053,60.79999924,29.3,44.92,81.66000366,40.72343089,77.846,97.94228363,99.67472076,49.97235365,NA,98.70014191,39.16666667,17.27000046,6,15,18.39,14.70000029,82.73000336
